0,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월
B-09,1473.8,1500.4,1514.4,1624.5,1617.2,1664.1,1584.8,1562.7,1609.2,1522.7,1544.1,1476.8,1500.6,1557.0,1659.0,1689.3,1707.9,1729.4,1624.3,1589.5,1611.5,1576.1,1664.5,1548.7,1534.7,1427.4,1574.7,1626.6,1651.2,1652.7,1676.2,1704.7,1707.5,1749.9,1742.8,1625.9,1562.3,1568.1,1576.7,1667.6,1718.6,1801.0
B-10,3338.1,3493.7,3592.2,3704.1,3799.7,3831.3,3835.6,3876.3,3906.5,3738.1,3697.2,3380.0,3283.6,3349.3,3516.0,3726.2,3708.7,4009.2,4182.7,4152.0,4177.4,4152.6,4224.8,4084.3,4038.5,3936.5,4125.4,4145.4,4053.5,4065.0,4061.1,4299.2,4233.1,4333.2,4253.3,4098.8,3964.5,3857.4,3886.3,4077.8,4170.7,4244.1
B-11,4659.5,4830.2,4946.8,4857.0,4841.6,4912.1,4804.6,3502.5,4038.1,3980.6,4004.4,3784.1,3741.3,3740.5,3937.5,4037.1,3992.3,4009.6,3974.6,3975.0,4048.7,4101.6,4115.4,3940.6,3883.1,3875.7,4038.4,4118.5,4161.8,4106.3,4047.2,4055.3,4046.8,4107.5,4124.5,3951.9,3855.4,3738.9,3695.8,3860.3,3839.8,3946.3
B-12,,,1433.3,1453.1,1326.5,1340.0,1313.2,1310.9,1381.5,1266.1,1347.7,1300.0,1235.9,1272.2,1312.9,1333.0,1307.4,1266.4,1234.6,1205.1,1241.7,1286.9,1301.2,1247.1,1217.1,1179.2,1287.7,1308.7,1295.3,1238.3,1235.7,1222.1,1216.4,1298.4,1308.7,1264.4,1184.7,1175.1,1126.7,1179.4,1213.1,1244.1
B-13,,,,,,,,,,,,,,,,,,,,,,,,,817.0,772.6,809.1,865.6,850.3,821.9,841.7,836.8,834.8,873.7,901.3,831.7,757.2,747.3,708.9,781.4,798.2,
B-14,2256.2,2362.9,2403.8,2377.9,2408.8,2386.7,2307.9,2355.4,2443.2,2328.8,2417.0,2291.1,2267.6,2266.3,2371.3,2377.6,2372.6,2327.0,2304.0,2275.7,2314.7,2343.1,2346.3,2270.4,2239.2,2176.3,2309.0,2346.3,2341.1,2303.7,2265.0,2288.7,2176.6,2227.2,2230.0,2152.2,2081.6,2025.2,2067.0,2139.8,2103.1,2154.5
B-15,1472.8,1467.5,1538.2,1546.9,1496.3,1576.4,1474.4,1437.9,1535.8,1462.3,1480.7,1401.4,1365.2,1398.1,1422.7,1503.0,1435.6,1448.1,1432.5,,,1274.0,1268.3,1229.9,1227.2,1205.3,1266.5,1341.6,1341.8,1322.0,1297.8,1344.3,1266.9,1330.2,1318.9,1270.7,1222.7,1244.1,1219.8,1288.9,1291.9,1339.9
B-16,,,,,,,,,,,,,,,,3380.3,3368.9,3392.7,3370.8,3105.4,3189.6,2375.9,2425.1,2324.6,2279.1,2248.9,2493.7,2594.3,2617.7,2594.2,2560.0,2506.4,2336.4,2586.8,2567.7,2507.8,2522.7,2445.7,2508.4,2660.2,2667.8,2579.8
B-17,,,1341.6,1372.7,1300.0,1300.6,1321.7,1304.6,1371.6,1292.6,1433.8,1356.8,1296.6,1333.2,1368.8,1374.6,1375.1,1319.2,1321.3,1298.2,1346.5,1401.0,1499.1,1267.2,1335.0,1282.7,1256.3,,1284.9,1242.8,1256.7,1257.7,1236.8,1249.0,1395.1,1237.4,1173.8,1128.5,1029.4,,1273.1,1390.3
B-18,,,2033.2,2018.8,1982.2,2015.3,1951.5,1957.5,2021.7,1850.4,1952.8,1873.0,1820.5,1862.1,1904.6,1881.6,1861.7,1823.8,1833.5,1773.8,1766.7,1814.0,1964.4,,,,,1801.3,1789.8,1767.6,1787.8,1760.7,1718.6,1756.4,1769.0,1687.5,1616.8,1602.4,1583.4,1637.8,1631.1,1679.3
B-19,198.0,208.9,221.6,229.7,227.3,229.8,229.6,229.8,240.6,214.6,223.5,223.5,215.3,220.5,231.8,234.2,232.8,231.9,228.8,220.0,217.5,226.0,239.9,223.6,223.3,208.2,216.5,223.1,221.7,216.6,220.7,214.1,210.4,216.8,219.5,212.6,202.3,202.9,191.8,200.7,210.4,217.9
B-20,,613.7,609.7,636.4,631.4,645.9,638.4,635.8,656.4,604.6,623.6,617.3,589.2,614.0,624.4,639.1,632.4,619.9,614.2,595.9,630.5,605.7,625.5,612.9,603.4,596.8,591.3,626.6,623.7,612.9,612.1,604.9,593.9,595.4,604.7,588.9,576.5,565.5,542.0,573.4,590.0,596.4
B-21,330.7,,584.7,555.3,522.5,478.3,537.6,588.6,598.9,571.9,597.1,588.4,568.5,585.8,590.6,589.3,580.3,568.9,570.1,558.4,571.7,571.9,587.6,578.4,564.7,556.7,580.5,631.4,585.0,586.6,525.0,521.6,528.0,532.4,543.8,495.0,472.0,468.5,494.2,518.4,499.4,530.1
B-22,682.8,629.4,610.4,660.3,634.5,629.8,618.1,604.5,583.9,511.0,704.7,730.2,706.5,715.7,720.9,784.9,717.9,716.4,709.7,698.9,696.8,739.3,,665.4,649.3,620.2,646.2,672.6,671.8,661.7,673.1,674.0,656.7,656.9,677.0,642.8,618.3,548.7,517.9,547.2,565.5,575.8
B-23,918.9,961.8,967.7,1002.5,960.4,988.4,983.7,969.7,989.4,898.4,952.2,901.5,885.4,850.6,889.9,919.9,890.6,892.3,924.2,828.6,687.6,872.4,879.3,879.8,881.4,641.1,858.7,,,,,,,1104.6,1022.4,874.0,846.3,844.8,822.7,839.2,828.8,839.2
B-24,,,,,,,,,,,,,1138.8,1116.7,1125.9,1147.1,1127.5,1134.7,1218.2,1155.7,1102.3,1132.4,,1154.4,1145.3,1086.7,1163.1,1179.0,1147.9,1120.7,1153.5,1113.3,1091.2,1126.3,1167.0,1132.1,1092.2,1085.8,1068.7,1093.7,1091.4,1149.0
B-25,,,,727.9,679.1,724.6,738.8,657.0,,,,644.4,640.4,657.5,674.8,696.5,689.2,678.7,690.7,670.2,674.1,676.8,716.8,686.8,664.8,658.0,682.5,691.1,690.1,682.1,687.3,677.0,680.6,681.8,686.6,669.6,609.3,584.3,565.0,602.5,632.4,668.8
B-26,538.8,,541.0,517.5,505.1,514.3,490.0,498.2,539.5,493.7,525.3,495.0,478.6,492.4,507.1,516.3,509.8,506.6,507.5,498.4,502.5,517.4,528.4,507.1,497.9,484.6,501.8,524.0,518.5,510.8,511.4,508.5,495.9,514.8,522.4,490.9,470.4,446.4,413.5,417.4,443.4,451.1
B-27,782.0,603.0,681.7,,,522.3,796.4,781.4,917.4,742.1,,,773.7,768.6,789.0,793.7,789.6,791.9,781.5,758.3,764.6,781.3,786.3,769.0,756.7,742.2,769.6,779.9,775.2,768.1,760.6,759.0,745.2,766.9,771.8,749.1,721.8,722.6,706.4,725.8,726.9,734.7
B-28,,,3607.1,3458.9,3053.6,2845.9,3019.2,3413.4,3542.1,3368.7,3478.3,3374.3,3309.1,3332.7,3473.0,3499.1,3500.6,3541.3,3475.3,3357.7,3477.0,3496.1,3549.4,3497.9,3487.5,3402.4,3538.6,3584.1,3591.8,3588.8,3573.9,3539.6,3443.7,3634.7,3611.0,3530.2,3410.3,3425.4,3396.4,3491.9,3423.0,3536.4
B-29,,,,893.6,815.4,813.2,801.4,806.2,835.1,785.0,813.9,774.1,740.9,766.9,784.5,790.7,787.2,768.4,748.6,730.4,751.0,758.7,779.9,757.2,723.5,714.3,741.1,757.9,746.7,730.4,728.8,723.0,723.8,729.9,736.5,711.4,678.3,664.5,645.1,674.7,698.4,705.5
B-31,1002.1,1037.1,1021.9,1051.6,1054.8,1097.6,1075.0,1057.7,1000.2,847.6,893.2,910.6,910.9,913.8,995.2,994.9,993.0,984.1,984.8,967.3,987.1,1004.6,1001.1,1011.8,991.2,973.6,1001.6,1035.8,1030.4,997.1,1000.1,995.3,983.5,981.4,1006.9,965.4,932.9,880.8,871.0,917.3,944.7,988.7
B-32,1563.4,1552.7,1720.0,1663.9,1699.7,1704.9,1876.6,3387.4,3528.9,3455.6,3618.6,3311.5,3191.1,3137.7,3449.1,3446.1,3422.1,3536.8,3500.4,3481.1,3508.8,3603.8,3602.9,3487.1,3489.9,3327.7,3495.6,3562.9,3564.8,3541.1,3416.7,3453.2,3363.9,3466.9,3473.1,3395.8,3280.8,3233.6,3232.5,3488.1,3455.1,3548.0
B-33,976.6,1029.2,1078.8,1113.7,1118.7,1138.9,1124.8,1138.1,1184.1,1117.2,1121.8,1065.9,1045.6,1081.7,1113.7,1135.3,1129.2,1150.1,1144.2,1111.1,1073.5,,1084.9,1053.3,1023.7,1018.5,1072.3,1096.7,1102.8,1093.8,1098.7,1096.0,1080.6,1014.3,994.3,1040.8,1009.0,956.8,900.5,984.7,1040.7,1059.3
B-34,,745.6,875.0,905.7,898.7,907.6,887.8,885.0,918.6,873.1,828.6,763.5,727.0,763.6,806.6,815.6,819.5,808.1,802.1,774.3,782.9,765.8,730.0,742.2,711.6,716.9,761.1,790.9,825.4,824.8,832.1,846.7,840.9,852.3,845.4,818.5,789.0,767.7,779.0,832.9,853.4,864.1
B-35,,883.0,946.7,958.7,942.1,964.8,944.9,957.9,1016.0,921.1,946.2,879.2,831.0,870.7,910.3,911.2,897.2,889.9,883.7,849.1,859.8,890.5,881.3,865.5,841.2,804.7,871.0,904.9,905.3,889.8,931.2,970.7,969.2,1011.4,1007.7,972.9,920.3,913.0,901.5,944.2,956.2,989.0
B-36,4800.3,4692.2,4624.6,4492.3,4440.0,4468.4,5138.7,5161.4,5277.0,4995.2,5170.5,4937.8,4775.7,4624.2,4635.5,4972.7,5126.1,5302.3,5224.5,5230.2,5230.1,5306.2,5309.5,5233.0,5262.2,4789.9,,5253.9,5196.4,5170.3,5125.3,5148.0,5048.4,5152.0,5157.2,5128.1,4964.8,4857.9,4827.7,4965.8,4848.1,4971.9
